state,year,gdp
KS,2005,12501827.870777778
KS,2006,13533255.730555557
KS,2007,14642408.595111111
KS,2008,15268229.26311111
KS,2009,14905041.771444445
KS,2010,15278721.858444445
KS,2011,16195009.512444444
KS,2012,16792989.439888887
KS,2013,17157308.581777778
KS,2014,17789726.909444444
KS,2015,18397660.43188889
KS,2016,19180846.00222222
KS,2017,19679687.02222222
KS,2018,20499503.124333337
KS,2019,20727313.55311111
KS,2020,19972619.945444446
KS,2021,21835070.031333335
KS,2022,25078735.124222223
KS,2023,26407788.51288889
KS,2024,27149802.512999997
KS,2025,106658.93724999999
KY,1997,14105115.25275
KY,1998,13129266.04411111
KY,1999,13756621.792222222
KY,2000,13704118.882222222
KY,2001,14080778.405111112
KY,2002,14679742.707666667
KY,2003,15271668.816555556
KY,2004,16162697.570777778
KY,2005,17243824.112888888
KY,2006,18218403.148333333
KY,2007,18651826.774333335
KY,2008,19121351.902777776
KY,2009,18721342.54411111
KY,2010,19837988.82511111
KY,2011,20378391.70511111
KY,2012,21236254.661
KY,2013,22003534.06966667
KY,2014,22442316.541666668
KY,2015,23164548.52188889
KY,2016,23557015.060444444
KY,2017,24230467.366666667
KY,2018,25073798.840777777
KY,2019,26299346.97088889
KY,2020,25309736.843555555
KY,2021,27797760.09788889
KY,2022,31173678.465444446
KY,2023,33544250.27611111
KY,2024,34994647.21788889
KY,2025,135064.02
LA,1997,15664068.373375
LA,1998,14386682.677
LA,1999,15024356.290111111
LA,2000,15809481.425111111
LA,2001,16520338.742777778
LA,2002,16779921.065222222
LA,2003,18472434.446888886
LA,2004,20301231.12533333
LA,2005,23547054.617444444
LA,2006,24579728.727555558
LA,2007,23662778.795444444
LA,2008,25081673.460555557
LA,2009,24315688.57222222
LA,2010,26675174.220666666
LA,2011,27232614.376222223
LA,2012,27889407.919777777
LA,2013,27493642.244888887
LA,2014,28586101.004333332
LA,2015,27817548.533
LA,2016,27174404.890777778
LA,2017,28688000.577777777
LA,2018,30500719.794111114
LA,2019,30608218.872666664
LA,2020,26627076.84233333
LA,2021,31556198.338555556
LA,2022,36240493.932111114
LA,2023,37775319.244666666
LA,2024,39129739.24244444
LA,2025,150029.09475
MA,1997,31030473.414125
MA,1998,28922135.843000002
MA,1999,30693457.105111107
MA,2000,33459656.69677778
MA,2001,34390665.65822223
MA,2002,35026447.530555554
MA,2003,36227616.90011111
MA,2004,38065778.96011111
MA,2005,39889272.93044445
MA,2006,41913338.148
MA,2007,44100071.285444446
MA,2008,45225556.024222225
MA,2009,45376271.92722222
MA,2010,47754497.75677778
MA,2011,49448555.06222222
MA,2012,51488349.61822222
MA,2013,52847954.207
MA,2014,54961251.701000005
MA,2015,58208324.82588889
MA,2016,60137600.067
MA,2017,62014011.266666666
MA,2018,65481036.58988889
MA,2019,68701998.5808889
MA,2020,67732201.77877778
MA,2021,74642260.34366666
MA,2022,81114172.10988888
MA,2023,85983942.741
MA,2024,90789553.13444445
MA,2025,366101.90325000003
MD,1997,21142181.18
MD,1998,19999253.323333334
MD,1999,21189679.875
MD,2000,22615593.974777777
MD,2001,24236809.590444446
MD,2002,25612482.294666667
MD,2003,26769257.886222225
MD,2004,28726179.903555557
MD,2005,31019457.97433333
MD,2006,32439534.647444446
MD,2007,33444760.144444447
MD,2008,34548150.68911111
MD,2009,34977951.90344445
MD,2010,36977473.391
MD,2011,38214580.667
MD,2012,39051259.51722222
MD,2013,40025825.78033333
MD,2014,41538180.13911111
MD,2015,43357321.78377778
MD,2016,45550874.09533334
MD,2017,47150153.333333336
MD,2018,48524310.23244444
MD,2019,49564669.722
MD,2020,47613472.351555556
MD,2021,51933460.76255556
MD,2022,56852237.193444446
MD,2023,60781388.11277778
MD,2024,64375429.18377778
MD,2025,251105.38025
ME,1997,4196543.966375
ME,1998,3958709.512222222
ME,1999,4205309.838777778
ME,2000,4502810.462222222
ME,2001,4709485.3131111115
ME,2002,4926182.671777778
ME,2003,5155633.976555556
ME,2004,5479569.560666667
ME,2005,5697020.1651111115
ME,2006,5932635.801666667
ME,2007,6065045.254333334
ME,2008,6150148.076777778
ME,2009,6185098.498666666
ME,2010,6362394.907888889
ME,2011,6400189.625777777
ME,2012,6519219.304222222
ME,2013,6629160.341333333
ME,2014,6847484.198444445
ME,2015,7123267.281222222
ME,2016,7399544.352333333
ME,2017,7626918.866666666
ME,2018,8025010.451777778
ME,2019,8481736.229444444
ME,2020,8559368.28477778
ME,2021,9430873.095333332
ME,2022,10377376.532
ME,2023,11236204.029111112
ME,2024,11892160.013888888
ME,2025,45292.306749999996
MI,1997,39971677.542125
MI,1998,36901959.85377778
MI,1999,39808861.05588889
MI,2000,41667716.74288889
MI,2001,41356922.516111106
MI,2002,42984399.27966666
MI,2003,44624067.00588889
MI,2004,46173160.33744445
MI,2005,47956401.74022222
