year,state,policy_change,description,policy_type,direction,intensity,sector,bill_id,level
2020,United States,This bill provides continuing FY2021 appropriations to federal agencies throu...,"This bill provides continuing FY2021 appropriations to federal agencies through December 18, 2020, and extends several expiring health programs.",spending,expansionary,high,business,policy_event_92,federal
2020,United States,This joint resolution provides continuing FY2021 appropriations to federal ag...,"This joint resolution provides continuing FY2021 appropriations to federal agencies through December 20, 2020. It is known as a continuing resolution (CR) and prevents a government shutdown that would otherwise occur if the FY2021 appropriations bills have not been enacted when the existing CR expires on December 18, 2020.",spending,expansionary,high,business,policy_event_93,federal
2020,United States,This joint resolution provides continuing FY2021 appropriations to federal ag...,"This joint resolution provides continuing FY2021 appropriations to federal agencies through December 21, 2020. It is known as a continuing resolution (CR) and prevents a government shutdown that would otherwise occur if the FY2021 appropriations bills have not been enacted when the existing CR expires on December 20, 2020.",spending,expansionary,high,business,policy_event_94,federal
2021,United States,"This bill makes several budgetary, technical, and procedural changes, particu...","This bill makes several budgetary, technical, and procedural changes, particularly in relation to Medicare and increasing the debt limit.",tax,contractionary,high,business,policy_event_95,federal
2021,United States,This bill increases the maximum amount of funding available in FY2021 and FY2...,"This bill increases the maximum amount of funding available in FY2021 and FY2022 for temporary assistance for U.S. citizens and their dependents who are returning from foreign countries due to a crisis and are without available resources. Under current law, the Department of Health and Human Services may provide assistance such as money payments and medical care to these individuals on a temporary basis. The bill designates the funding as emergency spending that is exempt from pay-as-you-go (PAYGO) rules and other budget enforcement procedures.",other,expansionary,high,mixed,policy_event_96,federal
2021,United States,This bill provides $1.9 billion in FY2021 emergency supplemental appropriatio...,"This bill provides $1.9 billion in FY2021 emergency supplemental appropriations for the legislative branch and federal agencies to respond to the attack on the U.S. Capitol Complex that occurred on January 6, 2021.",spending,expansionary,high,business,policy_event_97,federal
2021,United States,"This bill provides continuing FY2022 appropriations for federal agencies, pro...","This bill provides continuing FY2022 appropriations for federal agencies, provides supplemental appropriations, and extends several expiring authorities.",spending,expansionary,high,business,policy_event_98,federal
2021,United States,"This bill provides continuing FY2022 appropriations for federal agencies, pro...","This bill provides continuing FY2022 appropriations for federal agencies, provides supplemental appropriations, and extends several expiring programs and authorities.",spending,expansionary,high,business,policy_event_99,federal
2022,United States,This bill provides funding for and makes changes to school meal programs and...,"This bill provides funding for and makes changes to school meal programs and the Child and Adult Care Food Program (CACFP). It also rescinds certain funds provided under the American Rescue Plan Act of 2021; the Consolidated Appropriations Act, 2021; and the Coronavirus Aid, Relief, and Economic Security Act (CARES Act).",education,expansionary,high,government,policy_event_100,federal
2022,United States,This act addresses the migration of executive agencies' information technolog...,"This act addresses the migration of executive agencies' information technology systems to post-quantum cryptography. Post-quantum cryptography is encryption strong enough to resist attacks from quantum computers developed in the future. The act does not apply to national security systems. The Office of Management and Budget (OMB) shall issue guidance on the migration of information technology to post-quantum cryptography. Each executive agency must maintain an inventory of all information technology in use by the executive agency that is vulnerable to decryption by quantum computers. After the National Institutes of Standards and Technology (NIST) has issued post-quantum cryptography standards, the OMB shall issue guidance requiring each executive agency to develop a plan to migrate information technology of the agency to post-quantum cryptography. OMB shall submit to Congress a report on: a strategy to address the risk posed by the vulnerabilities of information technology of executive agencies to weakened encryption due to the potential and possible capability of a quantum computer to breach such encryption; the funding needed by executive agencies to secure such information technology from the risk posed by an adversary of the United States using a quantum computer to breach the encryption; and a description of federal civilian executive branch coordination efforts led by NIST, including timelines, to develop standards for post-quantum cryptography.",other,expansionary,high,mixed,policy_event_101,federal
2022,United States,"This act limits the automatic application of, and directs the Office of Manag...","This act limits the automatic application of, and directs the Office of Management and Budget (OMB) to provide information about, changes to the standards for designating a core-based statistical area (CBSA). The standards are used to delineate metropolitan and micropolitan areas for statistical purposes. Specifically, any change to the standards of CBSA delineations (1) shall not apply automatically for any nonstatistical use by any domestic assistance program, and (2) shall apply for such uses only if a relevant agency determines that the change supports the purposes of the program and is in the public interest and the change is adopted through rulemaking procedures. The OMB must ensure that any change to the standards of CBSA delineations are accompanied by a public report that explains the scientific basis, criteria, and methodology for such change and the opinions of experts in statistics and demographics who were consulted regarding the change; are not influenced by any nonstatistical considerations; and are not applied automatically for any nonstatistical use by any domestic assistance program. Additionally, the OMB must collect information on the uses of CBSA delineations by domestic assistance programs for purposes including prime recipient and subrecipient eligibility for, and distribution of, any federal service, benefit, or funding. The Government Accountability Office must submit a report assessing the information collected by the OMB pursuant to this act.",spending,expansionary,high,business,policy_event_102,federal
2022,United States,This act provides continuing FY2023 appropriations to federal agencies throug...,"This act provides continuing FY2023 appropriations to federal agencies through December 16, 2022, provides supplemental appropriations for assistance to Ukraine, and establishes a compensation program for victims of the Hermit's Peak/Calf Canyon fire in New Mexico.",spending,expansionary,high,business,policy_event_103,federal
2022,United States,This act provides continuing FY2023 appropriations to federal agencies throug...,"This act provides continuing FY2023 appropriations to federal agencies through December 30, 2022, and extends several expiring programs and authorities. DIVISION A--FURTHER ADDITIONAL CONTINUING APPROPRIATIONS ACT, 2023. Further Additional Continuing Appropriations Act, 2023. This division provides continuing FY2023 appropriations to federal agencies through the earlier of December 30, 2022, or the enactment of the applicable appropriations act. It is known as a continuing resolution (CR) and prevents a government shutdown that would otherwise occur if the FY2023 appropriations bills have not been enacted when the existing CR expires on December 23, 2022. The CR funds most programs and activities at the FY2022 levels. It also extends several exceptions that provide funding flexibility or additional appropriations for various programs. DIVISION B--OTHER MATTERS. TITLE I--EXTENSIONS. This title extends several expiring programs and authorities through December 30, 2022. (Sec. 101) This section extends the authority of the Federal Communications Commission to conduct auctions for electromagnetic spectrum licenses. (Sec. 102) This section extends a special assessment on nonindigent persons or entities convicted of certain offenses involving sexual abuse or human trafficking. The assessment funds programs for human-trafficking survivors. United States Parole Commission Further Extension Act of 2022. (Sec. 103) This section extends the U.S. Parole Commission. (Sec. 104) This section extends the Commodity Futures Trading Commission Customer Protection Fund expenses account. (Sec. 105) This section extends provisions that prohibit the Indian Health Service from disbursing funds to Alaska Native villages or corporations that are located in areas served by Alaska Native regional health entities. TITLE II--BUDGETARY EFFECTS. This title exempts the budgetary effects of this division from (1) the Statutory Pay-As-You-Go Act of 2010 (PAYGO), (2) the Senate PAYGO rule, and (3) certain budget scorekeeping rules.",spending,expansionary,high,business,policy_event_104,federal
2022,United States,This act requires the Office of Management and Budget to establish guidance t...,"This act requires the Office of Management and Budget to establish guidance that requires federal agencies to incorporate natural disaster resilience into real property asset management and investment decisions. Specifically, the guidance must direct each agency to incorporate assessments of natural disaster risk information conducted by the agency, such as vulnerability and other risk assessments, into real property asset management and investment decisions.",spending,expansionary,high,business,policy_event_105,federal
2022,United States,This bill provides appropriations to federal agencies for the remainder of FY...,"This bill provides appropriations to federal agencies for the remainder of FY2022, provides supplemental appropriations for activities to support Ukraine, and modifies or establishes various programs that address a wide range of policy areas.",spending,expansionary,high,business,policy_event_106,federal
2022,United States,This bill provides appropriations to federal agencies for the remainder of FY...,"This bill provides appropriations to federal agencies for the remainder of FY2023, provides supplemental appropriations for disaster relief and to support Ukraine, extends several expiring authorities, and modifies or establishes various programs that address a wide range of policy areas.",spending,expansionary,high,business,policy_event_107,federal
2022,United States,This bill provides continuing FY2022 appropriations for federal agencies and...,This bill provides continuing FY2022 appropriations for federal agencies and extends several expiring authorities.,spending,expansionary,high,business,policy_event_108,federal
2022,United States,This bill requires the Office of Management and Budget (OMB) to establish or...,"This bill requires the Office of Management and Budget (OMB) to establish or otherwise provide an artificial intelligence (AI) training program for the acquisition workforce of executive agencies (e.g., those responsible for program management or logistics), with exceptions. The purpose of the program is to ensure that the workforce has knowledge of the capabilities and risks associated with AI.",spending,expansionary,high,business,policy_event_109,federal
2022,United States,This joint resolution provides continuing FY2022 appropriations to federal ag...,"This joint resolution provides continuing FY2022 appropriations to federal agencies through March 15, 2022. It is known as a continuing resolution (CR) and prevents a government shutdown that would otherwise occur if the FY2022 appropriations bills have not been enacted when the existing CR expires on March 11, 2022.",spending,expansionary,high,business,policy_event_110,federal
2018,Pennsylvania,"An Act amending the act of April 9, 1929 (P.L. 177, No. 175), known as the Administrative Code of 1929, further providing for primary care workforce initiative.",Establishes a new primary care workforce initiative to expand state medical support networks.,spending,neutral,medium,mixed,cap_pa_101,state
2019,Pennsylvania,"An Act amending the act of December 5, 1936 (P.L. 2897, No. 1), known as the Unemployment Compensation Law, further providing for rates of contribution.",Adjusts employer unemployment compensation contribution rates to stabilize state funds.,regulation,neutral,medium,mixed,cap_pa_102,state
2020,Pennsylvania,An Act relating to domestic commerce and further providing for trade regulation and consumer protection.,Implements trade regulation protections to reduce fraudulent transactions.,trade,neutral,medium,mixed,cap_pa_103,state
